PhraseId,Sentiment
156061,somewhat positive
156062,somewhat positive
156063,neuteral
156064,somewhat positive
156065,somewhat positive
156066,somewhat positive
156067,somewhat positive
156068,neuteral
156069,somewhat positive
156070,neuteral
156071,neuteral
156072,neuteral
156073,neuteral
156074,neuteral
156075,neuteral
156076,somewhat positive
156077,neuteral
156078,somewhat positive
156079,somewhat positive
156080,neuteral
156081,neuteral
156082,neuteral
156083,somewhat positive
156084,neuteral
156085,neuteral
156086,neuteral
156087,neuteral
156088,neuteral
156089,somewhat positive
156090,neuteral
156091,somewhat positive
156092,somewhat positive
156093,neuteral
156094,somewhat positive
156095,neuteral
156096,somewhat positive
156097,neuteral
156098,neuteral
156099,neuteral
156100,neuteral
156101,neuteral
156102,neuteral
156103,neuteral
156104,neuteral
156105,neuteral
156106,neuteral
156107,neuteral
156108,neuteral
156109,neuteral
156110,neuteral
156111,neuteral
156112,neuteral
156113,neuteral
156114,neuteral
156115,neuteral
156116,neuteral
156117,neuteral
156118,neuteral
156119,neuteral
156120,neuteral
156121,neuteral
156122,neuteral
156123,neuteral
156124,neuteral
156125,neuteral
156126,neuteral
156127,neuteral
156128,neuteral
156129,neuteral
156130,neuteral
156131,neuteral
156132,neuteral
156133,neuteral
156134,neuteral
156135,neuteral
156136,neuteral
156137,neuteral
156138,neuteral
156139,neuteral
156140,neuteral
156141,neuteral
156142,neuteral
156143,neuteral
156144,neuteral
156145,neuteral
156146,neuteral
156147,neuteral
156148,neuteral
156149,neuteral
156150,neuteral
156151,neuteral
156152,neuteral
156153,neuteral
156154,positive
156155,neuteral
156156,neuteral
156157,neuteral
156158,neuteral
156159,neuteral
156160,neuteral
156161,neuteral
156162,neuteral
156163,neuteral
156164,neuteral
156165,neuteral
156166,neuteral
156167,neuteral
156168,neuteral
156169,neuteral
156170,neuteral
156171,neuteral
156172,neuteral
156173,neuteral
156174,neuteral
156175,neuteral
156176,neuteral
156177,neuteral
156178,somewhat negative
156179,neuteral
156180,somewhat negative
156181,somewhat negative
156182,neuteral
156183,somewhat negative
156184,neuteral
156185,somewhat positive
156186,neuteral
156187,neuteral
156188,neuteral
156189,neuteral
156190,neuteral
156191,neuteral
156192,neuteral
156193,neuteral
156194,neuteral
156195,neuteral
156196,neuteral
156197,neuteral
156198,neuteral
156199,neuteral
156200,neuteral
156201,neuteral
156202,neuteral
156203,neuteral
156204,neuteral
156205,neuteral
156206,somewhat positive
156207,neuteral
156208,neuteral
156209,neuteral
156210,neuteral
156211,neuteral
156212,neuteral
156213,neuteral
156214,neuteral
156215,neuteral
156216,neuteral
156217,neuteral
156218,neuteral
156219,positive
156220,neuteral
156221,positive
156222,positive
156223,neuteral
156224,neuteral
156225,neuteral
156226,neuteral
156227,neuteral
156228,neuteral
156229,neuteral
156230,neuteral
156231,neuteral
156232,neuteral
156233,neuteral
156234,neuteral
156235,neuteral
156236,positive
156237,neuteral
156238,positive
156239,neuteral
156240,somewhat positive
156241,neuteral
156242,neuteral
156243,somewhat positive
156244,somewhat positive
156245,somewhat positive
156246,neuteral
156247,neuteral
156248,neuteral
156249,neuteral
156250,neuteral
156251,neuteral
156252,neuteral
156253,neuteral
156254,neuteral
156255,neuteral
156256,neuteral
156257,neuteral
156258,neuteral
156259,neuteral
156260,neuteral
156261,neuteral
156262,neuteral
156263,neuteral
156264,neuteral
156265,neuteral
156266,neuteral
156267,neuteral
156268,neuteral
156269,neuteral
156270,neuteral
156271,neuteral
156272,somewhat positive
156273,neuteral
156274,somewhat positive
156275,somewhat positive
156276,somewhat positive
156277,somewhat positive
156278,somewhat positive
156279,somewhat positive
156280,somewhat positive
156281,somewhat positive
156282,somewhat positive
156283,somewhat positive
156284,neuteral
156285,neuteral
156286,somewhat positive
156287,somewhat positive
156288,somewhat positive
156289,somewhat positive
156290,neuteral
156291,neuteral
156292,neuteral
156293,neuteral
156294,neuteral
156295,neuteral
156296,neuteral
156297,neuteral
156298,neuteral
156299,neuteral
156300,neuteral
156301,neuteral
156302,neuteral
156303,neuteral
156304,neuteral
156305,neuteral
156306,neuteral
156307,neuteral
156308,neuteral
156309,neuteral
156310,neuteral
156311,neuteral
156312,neuteral
156313,neuteral
156314,neuteral
156315,neuteral
156316,neuteral
156317,neuteral
156318,neuteral
156319,neuteral
156320,neuteral
156321,neuteral
156322,neuteral
156323,neuteral
156324,somewhat positive
156325,somewhat positive
156326,neuteral
156327,neuteral
156328,somewhat positive
156329,somewhat positive
156330,neuteral
156331,neuteral
156332,neuteral
156333,somewhat positive
156334,neuteral
156335,neuteral
156336,neuteral
156337,neuteral
156338,neuteral
156339,neuteral
156340,neuteral
156341,neuteral
156342,neuteral
156343,neuteral
156344,neuteral
156345,neuteral
156346,somewhat positive
156347,somewhat positive
156348,somewhat positive
156349,somewhat positive
156350,neuteral
156351,somewhat positive
156352,somewhat positive
156353,somewhat positive
156354,neuteral
156355,neuteral
156356,somewhat positive
156357,somewhat positive
156358,somewhat positive
156359,neuteral
156360,somewhat positive
156361,neuteral
156362,negative
156363,neuteral
156364,somewhat negative
156365,somewhat negative
156366,neuteral
156367,somewhat negative
156368,somewhat positive
156369,somewhat positive
156370,somewhat positive
156371,neuteral
156372,neuteral
156373,neuteral
156374,neuteral
156375,somewhat positive
156376,neuteral
156377,somewhat positive
156378,somewhat positive
156379,neuteral
156380,neuteral
156381,neuteral
156382,neuteral
156383,neuteral
156384,neuteral
156385,neuteral
156386,neuteral
156387,neuteral
156388,neuteral
156389,neuteral
156390,neuteral
156391,neuteral
156392,neuteral
156393,neuteral
156394,neuteral
156395,neuteral
156396,neuteral
156397,neuteral
156398,neuteral
156399,neuteral
156400,neuteral
156401,neuteral
156402,neuteral
156403,neuteral
156404,neuteral
156405,somewhat positive
156406,somewhat positive
156407,positive
156408,positive
156409,neuteral
156410,positive
156411,positive
156412,somewhat positive
156413,neuteral
156414,neuteral
156415,neuteral
156416,neuteral
156417,somewhat positive
156418,neuteral
